Country,File Paths ,Year,Values
Equatorial Guinea,Exports,1/1/1991,4.551
Ethiopia,Exports,1/1/1991,668.664
Gabon,Exports,1/1/1991,1.63
Ghana,Exports,1/1/1991,26.306
Guatemala,Exports,1/1/1991,3287.771
Guinea,Exports,1/1/1991,65.522
Guyana,Exports,1/1/1991,0.5097
Honduras,Exports,1/1/1991,1800.366
India,Exports,1/1/1991,2024.082
Jamaica,Exports,1/1/1991,19.987
Kenya,Exports,1/1/1991,1399.081
Lao People's Democratic Republic,Exports,1/1/1991,100.9707
Liberia,Exports,1/1/1991,0
Mexico,Exports,1/1/1991,3290.206
Nepal,Exports,1/1/1991,0.0037
Nicaragua,Exports,1/1/1991,592.629
Nigeria,Exports,1/1/1991,8.563
Panama,Exports,1/1/1991,104.7
Sierra Leone,Exports,1/1/1991,74.379
Sri Lanka,Exports,1/1/1991,19.549
Thailand,Exports,1/1/1991,1182.936
Togo,Exports,1/1/1991,316.152
Trinidad & Tobago,Exports,1/1/1991,1.999
Uganda,Exports,1/1/1991,2013.001
Venezuela,Exports,1/1/1991,112.679
Viet Nam,Exports,1/1/1991,1317.848
Yemen,Exports,1/1/1991,45.6585
Angola,Total production,1/1/1994,76.802
Bolivia (Plurinational State of),Total production,1/1/1994,116.944
Brazil,Total production,1/1/1994,28192.047
Burundi,Total production,1/1/1994,664.143
Ecuador,Total production,1/1/1994,2375.766
Indonesia,Total production,1/1/1994,5367.878
Madagascar,Total production,1/1/1994,641.372
Malawi,Total production,1/1/1994,84.112
Papua New Guinea,Total production,1/1/1994,1138.659
Paraguay,Total production,1/1/1994,24.689
Peru,Total production,1/1/1994,1178.628
Rwanda,Total production,1/1/1994,22.449
Timor-Leste,Total production,1/1/1994,0
Zimbabwe,Total production,1/1/1994,106.302
Congo,Total production,1/1/1994,7.585
Cuba,Total production,1/1/1994,284.315
Dominican Republic,Total production,1/1/1994,729.67
Haiti,Total production,1/1/1994,450.246
Philippines,Total production,1/1/1994,876.764
Tanzania,Total production,1/1/1994,679.024
Zambia,Total production,1/1/1994,21.455
Benin,Total production,1/1/1994,0
Cameroon,Total production,1/1/1994,405.557
Central African Republic,Total production,1/1/1994,249.512
Colombia,Total production,1/1/1994,12964
Costa Rica,Total production,1/1/1994,2481.942
Côte d'Ivoire,Total production,1/1/1994,3006.444
Democratic Republic of Congo,Total production,1/1/1994,1297.805
El Salvador,Total production,1/1/1994,2293.468
Equatorial Guinea,Total production,1/1/1994,3.193
Ethiopia,Total production,1/1/1994,2762.73
Gabon,Total production,1/1/1994,7.701
Ghana,Total production,1/1/1994,57.176
Guatemala,Total production,1/1/1994,3787.336
Guinea,Total production,1/1/1994,198.357
Guyana,Total production,1/1/1994,0
Honduras,Total production,1/1/1994,2180.73
India,Total production,1/1/1994,3001.564
Jamaica,Total production,1/1/1994,44.598
Kenya,Total production,1/1/1994,1663.131
Lao People's Democratic Republic,Total production,1/1/1994,0
Liberia,Total production,1/1/1994,5
Mexico,Total production,1/1/1994,4158.777
Nepal,Total production,1/1/1994,0
Nicaragua,Total production,1/1/1994,682.969
Nigeria,Total production,1/1/1994,51.631
Panama,Total production,1/1/1994,248.313
Sierra Leone,Total production,1/1/1994,72.738
Sri Lanka,Total production,1/1/1994,42.448
Thailand,Total production,1/1/1994,1399.135
Togo,Total production,1/1/1994,176.296
Trinidad & Tobago,Total production,1/1/1994,18.435
Uganda,Total production,1/1/1994,2392.753
Venezuela,Total production,1/1/1994,988.996
Viet Nam,Total production,1/1/1994,3631.609
Yemen,Total production,1/1/1994,0
Angola,Domestic consumption,1/1/1994,25
Bolivia (Plurinational State of),Domestic consumption,1/1/1994,29.5
Brazil,Domestic consumption,1/1/1994,9300
Burundi,Domestic consumption,1/1/1994,2
Ecuador,Domestic consumption,1/1/1994,350
Indonesia,Domestic consumption,1/1/1994,1400
Madagascar,Domestic consumption,1/1/1994,166.666
Malawi,Domestic consumption,1/1/1994,2
Papua New Guinea,Domestic consumption,1/1/1994,2
Paraguay,Domestic consumption,1/1/1994,20
Peru,Domestic consumption,1/1/1994,200
Rwanda,Domestic consumption,1/1/1994,1
Timor-Leste,Domestic consumption,1/1/1994,0
Zimbabwe,Domestic consumption,1/1/1994,8.333
Congo,Domestic consumption,1/1/1994,3
Cuba,Domestic consumption,1/1/1994,194
Dominican Republic,Domestic consumption,1/1/1994,330
Haiti,Domestic consumption,1/1/1994,330
Philippines,Domestic consumption,1/1/1994,790
Tanzania,Domestic consumption,1/1/1994,17.5
Zambia,Domestic consumption,1/1/1994,1.5
Benin,Domestic consumption,1/1/1994,0
Cameroon,Domestic consumption,1/1/1994,100
Central African Republic,Domestic consumption,1/1/1994,15
Colombia,Domestic consumption,1/1/1994,1375
Costa Rica,Domestic consumption,1/1/1994,375
Côte d'Ivoire,Domestic consumption,1/1/1994,50
Democratic Republic of Congo,Domestic consumption,1/1/1994,200
El Salvador,Domestic consumption,1/1/1994,230
Equatorial Guinea,Domestic consumption,1/1/1994,0
Ethiopia,Domestic consumption,1/1/1994,1476
Gabon,Domestic consumption,1/1/1994,1
Ghana,Domestic consumption,1/1/1994,28
Guatemala,Domestic consumption,1/1/1994,310
Guinea,Domestic consumption,1/1/1994,50
Guyana,Domestic consumption,1/1/1994,0
Honduras,Domestic consumption,1/1/1994,253
India,Domestic consumption,1/1/1994,835
Jamaica,Domestic consumption,1/1/1994,15
Kenya,Domestic consumption,1/1/1994,50
Lao People's Democratic Republic,Domestic consumption,1/1/1994,0
Liberia,Domestic consumption,1/1/1994,5
Mexico,Domestic consumption,1/1/1994,1020
Nepal,Domestic consumption,1/1/1994,0
Nicaragua,Domestic consumption,1/1/1994,89.6
Nigeria,Domestic consumption,1/1/1994,40
Panama,Domestic consumption,1/1/1994,76.667
Sierra Leone,Domestic consumption,1/1/1994,5
Sri Lanka,Domestic consumption,1/1/1994,20
Thailand,Domestic consumption,1/1/1994,283
Togo,Domestic consumption,1/1/1994,1
Trinidad & Tobago,Domestic consumption,1/1/1994,14
Uganda,Domestic consumption,1/1/1994,80
Venezuela,Domestic consumption,1/1/1994,923.4
Viet Nam,Domestic consumption,1/1/1994,267
Yemen,Domestic consumption,1/1/1994,0
Angola,Exportable production,1/1/1994,51.802
Bolivia (Plurinational State of),Exportable production,1/1/1994,87.444
Brazil,Exportable production,1/1/1994,18892.047
Burundi,Exportable production,1/1/1994,662.143
Ecuador,Exportable production,1/1/1994,2025.766
Indonesia,Exportable production,1/1/1994,3967.878
Madagascar,Exportable production,1/1/1994,474.706
Malawi,Exportable production,1/1/1994,82.112
Papua New Guinea,Exportable production,1/1/1994,1136.659
Paraguay,Exportable production,1/1/1994,4.689
Peru,Exportable production,1/1/1994,978.628
Rwanda,Exportable production,1/1/1994,21.449
Timor-Leste,Exportable production,1/1/1994,0
Zimbabwe,Exportable production,1/1/1994,97.969
Congo,Exportable production,1/1/1994,4.585
Cuba,Exportable production,1/1/1994,90.315
Dominican Republic,Exportable production,1/1/1994,399.67
Haiti,Exportable production,1/1/1994,120.246
Philippines,Exportable production,1/1/1994,86.764
Tanzania,Exportable production,1/1/1994,661.524
Zambia,Exportable production,1/1/1994,19.955
Benin,Exportable production,1/1/1994,0
Cameroon,Exportable production,1/1/1994,305.557
Central African Republic,Exportable production,1/1/1994,234.512
Colombia,Exportable production,1/1/1994,11589
Costa Rica,Exportable production,1/1/1994,2106.942
Côte d'Ivoire,Exportable production,1/1/1994,2956.444
Democratic Republic of Congo,Exportable production,1/1/1994,1097.805
El Salvador,Exportable production,1/1/1994,2063.468
Equatorial Guinea,Exportable production,1/1/1994,3.193
Ethiopia,Exportable production,1/1/1994,1286.73
Gabon,Exportable production,1/1/1994,6.701
Ghana,Exportable production,1/1/1994,29.176
Guatemala,Exportable production,1/1/1994,3477.336
Guinea,Exportable production,1/1/1994,148.357
Guyana,Exportable production,1/1/1994,0
Honduras,Exportable production,1/1/1994,1927.73
India,Exportable production,1/1/1994,2166.564
Jamaica,Exportable production,1/1/1994,29.598
Kenya,Exportable production,1/1/1994,1613.131
Lao People's Democratic Republic,Exportable production,1/1/1994,0
Liberia,Exportable production,1/1/1994,0
Mexico,Exportable production,1/1/1994,3138.777
Nepal,Exportable production,1/1/1994,0
Nicaragua,Exportable production,1/1/1994,593.369
Nigeria,Exportable production,1/1/1994,11.631
Panama,Exportable production,1/1/1994,171.646
Sierra Leone,Exportable production,1/1/1994,67.738
Sri Lanka,Exportable production,1/1/1994,22.448
Thailand,Exportable production,1/1/1994,1116.135
Togo,Exportable production,1/1/1994,175.296
Trinidad & Tobago,Exportable production,1/1/1994,4.435
Uganda,Exportable production,1/1/1994,2312.753
Venezuela,Exportable production,1/1/1994,65.596
Viet Nam,Exportable production,1/1/1994,3364.609
Yemen,Exportable production,1/1/1994,0
Angola,Gross Opening stocks,1/1/1994,96
Bolivia (Plurinational State of),Gross Opening stocks,1/1/1994,11
Brazil,Gross Opening stocks,1/1/1994,29227
Burundi,Gross Opening stocks,1/1/1994,38.574
Ecuador,Gross Opening stocks,1/1/1994,230
Indonesia,Gross Opening stocks,1/1/1994,1644
Madagascar,Gross Opening stocks,1/1/1994,15.833
Malawi,Gross Opening stocks,1/1/1994,10
Papua New Guinea,Gross Opening stocks,1/1/1994,38
Paraguay,Gross Opening stocks,1/1/1994,100
Peru,Gross Opening stocks,1/1/1994,120
Rwanda,Gross Opening stocks,1/1/1994,1.2
Timor-Leste,Gross Opening stocks,1/1/1994,0
Zimbabwe,Gross Opening stocks,1/1/1994,0
Congo,Gross Opening stocks,1/1/1994,11
Cuba,Gross Opening stocks,1/1/1994,151
Dominican Republic,Gross Opening stocks,1/1/1994,193
Haiti,Gross Opening stocks,1/1/1994,30
Philippines,Gross Opening stocks,1/1/1994,1108
Tanzania,Gross Opening stocks,1/1/1994,38.583
Zambia,Gross Opening stocks,1/1/1994,0
Benin,Gross Opening stocks,1/1/1994,0
Cameroon,Gross Opening stocks,1/1/1994,198.198
Central African Republic,Gross Opening stocks,1/1/1994,8.333
Colombia,Gross Opening stocks,1/1/1994,2427.508
Costa Rica,Gross Opening stocks,1/1/1994,100
Côte d'Ivoire,Gross Opening stocks,1/1/1994,183.335
Democratic Republic of Congo,Gross Opening stocks,1/1/1994,81
El Salvador,Gross Opening stocks,1/1/1994,199.92
Equatorial Guinea,Gross Opening stocks,1/1/1994,0.2
Ethiopia,Gross Opening stocks,1/1/1994,4219
Gabon,Gross Opening stocks,1/1/1994,1.093
Ghana,Gross Opening stocks,1/1/1994,21
Guatemala,Gross Opening stocks,1/1/1994,240
Guinea,Gross Opening stocks,1/1/1994,11.667
Guyana,Gross Opening stocks,1/1/1994,0
Honduras,Gross Opening stocks,1/1/1994,38
India,Gross Opening stocks,1/1/1994,1198
Jamaica,Gross Opening stocks,1/1/1994,8.921
Kenya,Gross Opening stocks,1/1/1994,289
Lao People's Democratic Republic,Gross Opening stocks,1/1/1994,0
Liberia,Gross Opening stocks,1/1/1994,0
Mexico,Gross Opening stocks,1/1/1994,884
Nepal,Gross Opening stocks,1/1/1994,0
Nicaragua,Gross Opening stocks,1/1/1994,11.1
Nigeria,Gross Opening stocks,1/1/1994,0
Panama,Gross Opening stocks,1/1/1994,21.71
Sierra Leone,Gross Opening stocks,1/1/1994,0
Sri Lanka,Gross Opening stocks,1/1/1994,5
Thailand,Gross Opening stocks,1/1/1994,173
Togo,Gross Opening stocks,1/1/1994,25
Trinidad & Tobago,Gross Opening stocks,1/1/1994,0
Uganda,Gross Opening stocks,1/1/1994,3000
Venezuela,Gross Opening stocks,1/1/1994,250
Viet Nam,Gross Opening stocks,1/1/1994,0
Yemen,Gross Opening stocks,1/1/1994,0
Angola,Exports,1/1/1994,11.802
Bolivia (Plurinational State of),Exports,1/1/1994,85.944
Brazil,Exports,1/1/1994,15958.047
Burundi,Exports,1/1/1994,580.127
Ecuador,Exports,1/1/1994,2155.766
Indonesia,Exports,1/1/1994,4225.878
Madagascar,Exports,1/1/1994,474.539
Malawi,Exports,1/1/1994,87.112
Papua New Guinea,Exports,1/1/1994,1135.159
Paraguay,Exports,1/1/1994,37.689
Peru,Exports,1/1/1994,938.628
Rwanda,Exports,1/1/1994,22.349
Timor-Leste,Exports,1/1/1994,0
Zimbabwe,Exports,1/1/1994,97.969
Congo,Exports,1/1/1994,15.585
Cuba,Exports,1/1/1994,125.315
Dominican Republic,Exports,1/1/1994,394.67
Haiti,Exports,1/1/1994,123.246
Philippines,Exports,1/1/1994,87.764
Tanzania,Exports,1/1/1994,613.607
Zambia,Exports,1/1/1994,19.955
Benin,Exports,1/1/1994,0
Cameroon,Exports,1/1/1994,383.755
Central African Republic,Exports,1/1/1994,234.512
Colombia,Exports,1/1/1994,9342.47
Costa Rica,Exports,1/1/1994,1897.942
Côte d'Ivoire,Exports,1/1/1994,2252.779
Democratic Republic of Congo,Exports,1/1/1994,1077.805
El Salvador,Exports,1/1/1994,1659.922
Equatorial Guinea,Exports,1/1/1994,3.393
Ethiopia,Exports,1/1/1994,1320.73
Gabon,Exports,1/1/1994,6.794
Ghana,Exports,1/1/1994,35.176
Guatemala,Exports,1/1/1994,3564.003
Guinea,Exports,1/1/1994,148.024
Guyana,Exports,1/1/1994,0.1202
Honduras,Exports,1/1/1994,1636.63
India,Exports,1/1/1994,2069.564
Jamaica,Exports,1/1/1994,24.34
Kenya,Exports,1/1/1994,1325.306
Lao People's Democratic Republic,Exports,1/1/1994,162.1747
Liberia,Exports,1/1/1994,0
Mexico,Exports,1/1/1994,3257.777
Nepal,Exports,1/1/1994,0.4772
Nicaragua,Exports,1/1/1994,563.569
Nigeria,Exports,1/1/1994,11.631
Panama,Exports,1/1/1994,143.577
Sierra Leone,Exports,1/1/1994,67.738
Sri Lanka,Exports,1/1/1994,22.448
Thailand,Exports,1/1/1994,1208.885
Togo,Exports,1/1/1994,199.113
Trinidad & Tobago,Exports,1/1/1994,4.435
Uganda,Exports,1/1/1994,2792.753
Venezuela,Exports,1/1/1994,65.596
Viet Nam,Exports,1/1/1994,3206.609
Yemen,Exports,1/1/1994,80.8655
Angola,Total production,1/1/2007,35.631
Bolivia (Plurinational State of),Total production,1/1/2007,116.0292
Brazil,Total production,1/1/2007,38911.4571
Burundi,Total production,1/1/2007,132.856
Ecuador,Total production,1/1/2007,950.4028
Indonesia,Total production,1/1/2007,7776.5557
Madagascar,Total production,1/1/2007,614.1661
Malawi,Total production,1/1/2007,18.812
Papua New Guinea,Total production,1/1/2007,967.7113
Paraguay,Total production,1/1/2007,38.6339
Peru,Total production,1/1/2007,3062.9307
Rwanda,Total production,1/1/2007,224.0446
Timor-Leste,Total production,1/1/2007,36.3032
Zimbabwe,Total production,1/1/2007,31.2441
Congo,Total production,1/1/2007,3
Cuba,Total production,1/1/2007,109.8567
Dominican Republic,Total production,1/1/2007,464.9084
Haiti,Total production,1/1/2007,359.4114
Philippines,Total production,1/1/2007,445.6113
Tanzania,Total production,1/1/2007,809.7958
Zambia,Total production,1/1/2007,61.4737
Benin,Total production,1/1/2007,0
Cameroon,Total production,1/1/2007,795.3046
Central African Republic,Total production,1/1/2007,43.467
Colombia,Total production,1/1/2007,12515.0974
Costa Rica,Total production,1/1/2007,1797.1373
Côte d'Ivoire,Total production,1/1/2007,1338.1445
Democratic Republic of Congo,Total production,1/1/2007,415.9287
El Salvador,Total production,1/1/2007,1504.9911
Equatorial Guinea,Total production,1/1/2007,0
Ethiopia,Total production,1/1/2007,5966.6796
Gabon,Total production,1/1/2007,0.721
Ghana,Total production,1/1/2007,34.6644
Guatemala,Total production,1/1/2007,4099.6768
Guinea,Total production,1/1/2007,322.6894
Guyana,Total production,1/1/2007,8.6174
Honduras,Total production,1/1/2007,3639.7929
India,Total production,1/1/2007,4366.6594
Jamaica,Total production,1/1/2007,20.1766
Kenya,Total production,1/1/2007,652.105
Lao People's Democratic Republic,Total production,1/1/2007,393.123
Liberia,Total production,1/1/2007,6.8511
Mexico,Total production,1/1/2007,4150.3183
Nepal,Total production,1/1/2007,1.2574
